Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
covid-19,3977,0,3192.15454,0.00000,3193.155
pandemic,2923,57902,2346.15747,3.75702,493.409
esf,592,14357,475.17111,0.93157,246.521
covid,298,6,239.19086,0.00039,240.097
vaccine,5603,293829,4497.26953,19.06534,224.181
coronavirus,348,3892,279.32355,0.25254,223.805
u003e,266,360,213.50594,0.02336,209.610
sars-cov-2,251,0,201.46613,0.00000,202.466
phemce,214,134,171.76793,0.00869,171.279
moderna,282,5266,226.34840,0.34169,169.449
wmu,275,4804,220.72983,0.31171,169.039
countermeasure,484,20728,388.48450,1.34495,166.095
influenza,1397,96561,1121.30750,6.26544,154.472
jurisdictional,394,18475,316.24564,1.19877,144.284
vaccination,1659,130419,1331.60291,8.46235,140.832
ohpip,172,5,138.05647,0.00032,139.011
vaccinate,616,40264,494.43481,2.61256,137.142
distancing,186,2743,149.29362,0.17798,127.586
moh,292,13094,234.37494,0.84962,127.256
icu,541,38058,434.23575,2.46943,125.449
u003c,154,72,123.60870,0.00467,124.029
cdph,162,1483,130.02994,0.09623,119.528
cdc,1137,104210,912.61743,6.76175,117.708
aspr,150,649,120.39809,0.04211,116.492
barda,157,1458,126.01666,0.09460,116.039
sindecuse,141,26,113.17420,0.00169,113.982
rislnet,139,0,111.56889,0.00000,112.569
pfizer-biontech,134,0,107.55562,0.00000,108.556
unvaccinated,168,4084,134.84586,0.26499,107.389
ppe,264,15999,211.90063,1.03811,104.460
hie,210,10987,168.55731,0.71290,98.988
serch,125,426,100.33173,0.02764,98.606
njdoh,122,264,97.92377,0.01713,97.258
hhs,382,35326,306.61380,2.29216,93.438
eua,138,3078,110.76624,0.19972,93.160
omicron,128,3570,102.73970,0.23164,84.229
null,731,96339,586.73999,6.25104,81.056
mohltc,99,214,79.46274,0.01389,79.361
hipaa,240,22666,192.63693,1.47070,78.373
pfizer,257,25591,206.28204,1.66049,77.911
preparedness,779,109642,625.26740,7.11421,77.182
materiel,149,8778,119.59543,0.56957,76.834
antiviral,225,21708,180.59712,1.40854,75.397
emerg,110,2910,88.29193,0.18882,75.110
mcm,193,17559,154.91220,1.13933,72.879
booster,471,66503,378.04999,4.31510,71.316
oha,110,3916,88.29193,0.25409,71.200
u003cli,87,0,69.83089,0.00000,70.831
ppcc,94,1545,75.44946,0.10025,69.484
immunocompromised,107,4140,85.88396,0.26863,68.487
njiis,78,32,62.60700,0.00208,63.475
infectious,896,161593,719.17792,10.48510,62.705
ndms,75,250,60.19904,0.01622,60.222
lincs,82,2063,65.81762,0.13386,58.929
crohn,157,18800,126.01666,1.21985,57.218
mrna,330,58679,264.87579,3.80744,55.305
pheoc,67,1,53.77781,0.00006,54.774
mcms,69,841,55.38312,0.05457,53.466
u003cbr,65,0,52.17250,0.00000,53.173
sns,115,11805,92.30520,0.76598,52.835
triage,158,23134,126.81931,1.50107,51.106
shspecialtylink,61,0,48.96189,0.00000,49.962
shsubspecialtylink,61,0,48.96189,0.00000,49.962
stockpile,231,42450,185.41306,2.75440,49.652
hcid,61,103,48.96189,0.00668,49.630
ems,323,66132,259.25720,4.29103,49.188
zika,62,986,49.76454,0.06398,47.712
shdoctorcorporatedesg,58,0,46.55392,0.00000,47.554
shdoctorclinicalinst,58,0,46.55392,0.00000,47.554
shdoctorclinicaldisplayorder,58,0,46.55392,0.00000,47.554
shdoctorclinicalinstlogo,58,0,46.55392,0.00000,47.554
shdoctorclinicaldepturl,58,0,46.55392,0.00000,47.554
shdoctorclinicalaltdesgtext,58,0,46.55392,0.00000,47.554
shdoctorclinapppageitemid,58,0,46.55392,0.00000,47.554
shdepartmentlink,58,0,46.55392,0.00000,47.554
shdoctorclnicapptsfurl,58,0,46.55392,0.00000,47.554
shdoctorclinicaldesg,58,0,46.55392,0.00000,47.554
shdoctorclinicaldeptlogo,58,0,46.55392,0.00000,47.554
ventilator,114,15357,91.50254,0.99645,46.333
ocga,57,226,45.75127,0.01466,46.076
hit-hie,56,2,44.94862,0.00013,45.943
dcfs,69,3697,55.38312,0.23988,45.475
radiological,161,28893,129.22728,1.87475,45.300
seoc,56,231,44.94862,0.01499,45.270
emergency,4407,1193234,3537.29565,77.42399,45.118
janssen,95,12466,76.25212,0.80887,42.707
all-hazard,57,1529,45.75127,0.09921,42.532
oes,64,3646,51.36985,0.23657,42.351
smallpox,103,15344,82.67335,0.99561,41.929
rdd,58,2072,46.55392,0.13444,41.918
immunization,297,72901,238.38821,4.73024,41.776
pheic,51,130,40.93535,0.00844,41.585
decontamination,96,13551,77.05477,0.87927,41.535
vaers,51,445,40.93535,0.02887,40.758
ipac,55,1954,44.14597,0.12679,40.066
communicable,112,19854,89.89724,1.28824,39.724
n95,61,4068,48.96189,0.26396,39.528
corticosteroid,100,16450,80.26539,1.06737,39.309
dose,1247,379365,1000.90948,24.61542,39.114
cemp,49,495,39.33004,0.03212,39.075
uchealth,48,398,38.52739,0.02582,38.532
icus,55,2745,44.14597,0.17811,38.321
quarantine,211,53199,169.35997,3.45186,38.267
respirator,78,10250,62.60700,0.66508,38.201
phu,81,11528,65.01497,0.74800,37.766
lhds,49,1123,39.33004,0.07287,37.591
prioritization,111,21783,89.09458,1.41341,37.331
msdh,45,80,36.11943,0.00519,36.928
azathioprine,50,1821,40.13269,0.11816,36.786
hospitalization,181,46280,145.28035,3.00292,36.543
u0026,46,841,36.92208,0.05457,35.960
rcc,98,18959,78.66008,1.23017,35.719
poc,87,15179,69.83089,0.98490,35.685
drendel,43,152,34.51412,0.00986,35.167
idsr,43,166,34.51412,0.01077,35.136
ruggiero,49,2463,39.33004,0.15981,34.773
eid2802,42,0,33.71146,0.00000,34.711
prehospital,53,3926,42.54066,0.25474,34.701
pre-pandemic,42,182,33.71146,0.01181,34.306
ampoule,48,2423,38.52739,0.15722,34.157
flu,365,117542,292.96866,7.62681,34.076
hcl,90,17749,72.23885,1.15166,34.038
nphis,41,4,32.90881,0.00026,33.900
fda,484,162910,388.48450,10.57055,33.662
pre-decisional,41,223,32.90881,0.01447,33.425
outbreak,601,208101,482.39499,13.50281,33.331
lims,48,3145,38.52739,0.20407,32.828
infliximab,47,2829,37.72473,0.18356,32.719
shcommonasset,39,0,31.30350,0.00000,32.304
npis,40,504,32.10616,0.03270,32.058
amr,89,19438,71.43620,1.26125,32.034
lrn,41,1013,32.90881,0.06573,31.817
responder,257,85426,206.28204,5.54294,31.680
ulcerative,65,10624,52.17250,0.68935,31.475
brousseau,39,458,31.30350,0.02972,31.371
jic,44,2434,35.31677,0.15793,31.363
srn,40,973,32.10616,0.06313,31.140
signs,67,11856,53.77781,0.76929,30.960
emac,59,8714,47.35658,0.56542,30.891
myocarditis,44,2849,35.31677,0.18486,30.651
mortuary,65,11399,52.17250,0.73963,30.565
sars,75,15562,60.19904,1.00975,30.451
subparagraph,60,9504,48.15923,0.61668,30.408
nphi,36,49,28.89554,0.00318,29.801
boorse,36,127,28.89554,0.00824,29.651
phcc,40,1818,32.10616,0.11796,29.613
eoc,58,9409,46.55392,0.61051,29.527
nhcs,36,361,28.89554,0.02342,29.211
cikr,35,151,28.09289,0.00980,28.811
novavax,35,178,28.09289,0.01155,28.761
tetanus,60,10958,48.15923,0.71102,28.731
h1n1,87,22672,69.83089,1.47109,28.664
after-action,36,1011,28.89554,0.06560,28.055
aslm,34,246,27.29023,0.01596,27.846
acip,36,1272,28.89554,0.08253,27.616
colitis,74,18330,59.39639,1.18936,27.586
cholecystitis,36,1311,28.89554,0.08507,27.552
surveillance,809,348542,649.34698,22.61544,27.539
dispense,215,81817,172.57059,5.30876,27.513
dorscon,33,3,26.48758,0.00019,27.482
werribee,39,2742,31.30350,0.17792,27.424
nonpharmaceutical,33,101,26.48758,0.00655,27.309
p2,89,25858,71.43620,1.67782,27.050
mema,35,1189,28.09289,0.07715,27.009
shdoctorspecialityfurl,32,0,25.68493,0.00000,26.685
shdoctorspecpageitemid,32,0,25.68493,0.00000,26.685
shspecialtylinkdisplayorder,32,0,25.68493,0.00000,26.685
transmissibility,35,1490,28.09289,0.09668,26.528
anaphylaxis,47,7398,37.72473,0.48003,26.165
rccs,33,902,26.48758,0.05853,25.968
portrait-photo,31,1,24.88227,0.00006,25.881
ihr,41,4961,32.90881,0.32190,25.652
disinfect,65,16816,52.17250,1.09112,25.428
hoursopen,30,0,24.07962,0.00000,25.080
vial,79,24226,63.40966,1.57192,25.043
anthrax,85,27510,68.22558,1.78501,24.856
thrombocytopenia,39,4711,31.30350,0.30568,24.741
epidemiological,121,46241,97.12112,3.00039,24.528
jhsc,30,474,24.07962,0.03076,24.331
shdoctorprofappointmentsfullhtml,29,0,23.27696,0.00000,24.277
shdoctorprofilefullhtml,29,0,23.27696,0.00000,24.277
listdoctorspecialty,29,0,23.27696,0.00000,24.277
listdoctorclinical,29,0,23.27696,0.00000,24.277
shdepartmentlogolink,29,0,23.27696,0.00000,24.277
shdoctoraltdesgdisp,29,0,23.27696,0.00000,24.277
shdoctorthumbnailphoto,29,0,23.27696,0.00000,24.277
shdoctorthumbnailphotourl,29,0,23.27696,0.00000,24.277
shdoctoreducation,29,0,23.27696,0.00000,24.277
shqualificationfullhtml,29,0,23.27696,0.00000,24.277
shdoctorprofappointments,29,0,23.27696,0.00000,24.277
shdoctoreducationfullhtml,29,0,23.27696,0.00000,24.277
shdoctorresearchinterests,29,0,23.27696,0.00000,24.277
shdoctorresearchtrials,29,0,23.27696,0.00000,24.277
shdoctorprofile,29,0,23.27696,0.00000,24.277
listshdoctorclinicaldesg,29,0,23.27696,0.00000,24.277
shdoctorpublication,29,0,23.27696,0.00000,24.277
clinicaldesginstid,29,0,23.27696,0.00000,24.277
shinstitutionlogolink,29,0,23.27696,0.00000,24.277
listdoctoracademic,29,0,23.27696,0.00000,24.277
covovax,29,0,23.27696,0.00000,24.277
shdoctorpublicationsfullhtml,29,0,23.27696,0.00000,24.277
listdoctorinstitution,29,0,23.27696,0.00000,24.277
shdoctorclinicaldesginstfirst,29,0,23.27696,0.00000,24.277
shqualification,29,0,23.27696,0.00000,24.277
shdoctorthumbnailphotorender,29,0,23.27696,0.00000,24.277
shdoctorresearchtrialsfullhtml,29,0,23.27696,0.00000,24.277
shdoctorresearchinterestsfullhtml,29,0,23.27696,0.00000,24.277
hcw,33,2144,26.48758,0.13912,24.131
acute,551,271854,442.26230,17.63947,23.781
fy14,39,5547,31.30350,0.35992,23.754
epidemic,324,154541,260.05988,10.02752,23.673
toxoid,31,1574,24.88227,0.10213,23.484
shdepartmenturllink,28,0,22.47431,0.00000,23.474
shinstitutionlink,28,0,22.47431,0.00000,23.474
vaccine-preventable,32,2137,25.68493,0.13866,23.435
sanitizer,41,6939,32.90881,0.45024,23.381
antitoxin,30,1150,24.07962,0.07462,23.338
t1,81,28334,65.01497,1.83848,23.257
precaution,177,79481,142.06973,5.15719,23.236
cbrn,34,3361,27.29023,0.21808,23.225
dhis2,28,306,22.47431,0.01986,23.017
situational,82,29855,65.81762,1.93717,22.749
diphtheria,39,6496,31.30350,0.42150,22.725
virus,1027,544358,824.32556,35.32113,22.723
shdoctorothername,27,0,21.67166,0.00000,22.672
shdoctorprimaryspecialty,27,0,21.67166,0.00000,22.672
u003cspan,27,0,21.67166,0.00000,22.672
covid19,27,0,21.67166,0.00000,22.672
shdoctorhideprofile,27,0,21.67166,0.00000,22.672
shdoctorlastname,27,0,21.67166,0.00000,22.672
at-risk,145,64641,116.38481,4.19429,22.599
non-federal,38,6129,30.50085,0.39769,22.538
inactivate,53,14438,42.54066,0.93682,22.480
bott,32,2945,25.68493,0.19109,22.404
biontech,27,208,21.67166,0.01350,22.370
rmr,29,1388,23.27696,0.09006,22.271
biliary,46,10995,36.92208,0.71342,22.132
prophylaxis,60,19103,48.15923,1.23951,21.951
emergencymed,26,0,20.86900,0.00000,21.869
ninds,30,2304,24.07962,0.14950,21.818
respiratory,306,158930,245.61209,10.31231,21.800
mmwr,29,1798,23.27696,0.11666,21.741
contraindication,40,8137,32.10616,0.52798,21.667
ospedale,27,721,21.67166,0.04678,21.658
cjd,31,3112,24.88227,0.20192,21.534
reassignment,39,7713,31.30350,0.50046,21.529
measles,100,42791,80.26539,2.77653,21.519
honcode,26,274,20.86900,0.01778,21.487
fatality,147,70516,117.99012,4.57549,21.342
phr,40,8546,32.10616,0.55451,21.297
telemedicine,70,26029,56.18577,1.68891,21.267
stockpiling,32,3963,25.68493,0.25714,21.227
pd,168,83426,134.84586,5.41317,21.182
authorisation,92,39050,73.84416,2.53379,21.180
c-1,30,2864,24.07962,0.18583,21.149
biologic,66,24007,52.97516,1.55771,21.103
eqa,27,1157,21.67166,0.07507,21.088
nerdd,25,3,20.06635,0.00019,21.062
subsection,139,67387,111.56889,4.37246,20.953
nwhin,25,139,20.06635,0.00902,20.878
shec,25,210,20.06635,0.01363,20.783
rubella,42,10364,33.71146,0.67248,20.755
constructivist,43,11077,34.51412,0.71874,20.663
surge,321,177549,257.65189,11.52042,20.658
levodopa,28,2169,22.47431,0.14074,20.578
immunity,208,111329,166.95201,7.22368,20.423
lrn-b,24,3,19.26369,0.00019,20.260
phi,138,69724,110.76624,4.52410,20.232
slipta,24,70,19.26369,0.00454,20.172
disease,3955,2422399,3174.49609,157.17940,20.075
fever,296,167885,237.58556,10.89336,20.060
contagious,87,39276,69.83089,2.54846,19.961
ili,32,5287,25.68493,0.34305,19.869
zakiya,24,346,19.26369,0.02245,19.819
babesiosis,25,1044,20.06635,0.06774,19.730
fqhcs,25,1064,20.06635,0.06904,19.706
licensure,89,41262,71.43620,2.67732,19.698
lyme,75,32625,60.19904,2.11690,19.635
michie,26,1850,20.86900,0.12004,19.525
emsa,26,1855,20.86900,0.12036,19.520
openhyperlinkinnewwindow,23,0,18.46104,0.00000,19.461
verticalspacing,23,0,18.46104,0.00000,19.461
cipaca,23,0,18.46104,0.00000,19.461
horizontalspacing,23,0,18.46104,0.00000,19.461
mychart,24,637,19.26369,0.04133,19.459
alternatetext,23,11,18.46104,0.00071,19.447
fy17,24,661,19.26369,0.04289,19.430
prion,41,11508,32.90881,0.74671,19.413
dod,137,72750,109.96358,4.72044,19.398
in-person,82,37879,65.81762,2.45781,19.324
borderwidth,23,110,18.46104,0.00714,19.323
dpc,37,9073,29.69819,0.58871,19.323
biodosimetry,23,130,18.46104,0.00844,19.298
eid,77,34757,61.80435,2.25524,19.293
imageurl,23,166,18.46104,0.01077,19.254
subnational,32,5949,25.68493,0.38601,19.253
passaic,31,5431,24.88227,0.35239,19.138
zoonotic,39,10644,31.30350,0.69064,19.107
typhoid,40,11411,32.10616,0.74041,19.022
immunisation,55,21277,44.14597,1.38058,18.964
gayle,49,17365,39.33004,1.12674,18.963
hospitalize,84,40329,67.42293,2.61678,18.918
ar,202,117606,162.13609,7.63096,18.901
emg,38,10279,30.50085,0.66696,18.897
hitech,28,3749,22.47431,0.24326,18.881
operations,484,303001,388.48450,19.66047,18.852
budesonide,24,1295,19.26369,0.08403,18.693
shdoctorfirstname,22,0,17.65839,0.00000,18.658
ismii,22,0,17.65839,0.00000,18.658
coronaviruse,23,781,18.46104,0.05068,18.522
font-size,26,2788,20.86900,0.18090,18.519
usphs,23,799,18.46104,0.05184,18.502
disinfectant,43,14229,34.51412,0.92326,18.466
febrile,32,6881,25.68493,0.44648,18.448
psss,22,184,17.65839,0.01194,18.438
hunterdon,27,3567,21.67166,0.23145,18.411
kalamazoo,57,24160,45.75127,1.56764,18.208
biosafety,46,16732,36.92208,1.08567,18.182
phac,22,416,17.65839,0.02699,18.168
transmissible,28,4520,22.47431,0.29328,18.151
tracing,42,14068,33.71146,0.91281,18.147
infection,1147,767788,920.64404,49.81857,18.136
zoster,25,2672,20.06635,0.17337,17.954
pertussis,34,8942,27.29023,0.58021,17.903
meq,24,2068,19.26369,0.13418,17.866
ehr,70,33938,56.18577,2.20210,17.859
covid-19covid,21,0,16.85573,0.00000,17.856
trnslng,21,0,16.85573,0.00000,17.856
alphapitical,21,0,16.85573,0.00000,17.856
pan_flu,21,0,16.85573,0.00000,17.856
saemf,21,4,16.85573,0.00026,17.851
covax,21,20,16.85573,0.00130,17.833
city1,21,39,16.85573,0.00253,17.811
cholangitis,23,1435,18.46104,0.09311,17.803
ama,69,33516,55.38312,2.17471,17.760
virulence,47,18375,37.72473,1.19228,17.664
epidemiologist,40,13593,32.10616,0.88199,17.591
bacteremia,24,2350,19.26369,0.15248,17.583
authorization,237,153251,190.22897,9.94382,17.474
two-dose,21,399,16.85573,0.02589,17.405
appendix,207,133268,166.14935,8.64721,17.326
mous,29,6224,23.27696,0.40385,17.293
demobilization,27,4896,21.67166,0.31768,17.206
deliberative,44,17161,35.31677,1.11351,17.183
symptomatic,61,29499,48.96189,1.91407,17.145
intestine,94,53316,75.44946,3.45945,17.143
cholera,72,37575,57.79108,2.43809,17.100
shdoctorportraitphoto,20,0,16.05308,0.00000,17.053
qg-cs,20,0,16.05308,0.00000,17.053
shdoctorportraitphotourl,20,0,16.05308,0.00000,17.053
fda-authorized,20,20,16.05308,0.00130,17.031
cde,34,10276,27.29023,0.66677,16.973
incident-specific,20,84,16.05308,0.00545,16.961
single-dose,22,1565,17.65839,0.10155,16.938
encephalitis,36,11877,28.89554,0.77065,16.884
tx,214,142989,171.76793,9.27796,16.810
t2,53,24637,42.54066,1.59859,16.755
p1,65,33582,52.17250,2.17900,16.726
congregate,53,24747,42.54066,1.60573,16.710
dsns,20,338,16.05308,0.02193,16.687
j-pouch,20,354,16.05308,0.02297,16.670
ema,55,26345,44.14597,1.70942,16.663
yampa,22,1913,17.65839,0.12413,16.598
antemortem,20,428,16.05308,0.02777,16.592
human-to-human,22,1945,17.65839,0.12620,16.568
health-related,61,31316,48.96189,2.03197,16.478
assets,41,16307,32.90881,1.05809,16.476
demobilize,25,4311,20.06635,0.27972,16.462
pre-identified,20,612,16.05308,0.03971,16.402
immunize,39,14960,31.30350,0.97069,16.392
vtf,20,692,16.05308,0.04490,16.320
attenuated,29,7519,23.27696,0.48788,16.317
alcohol-based,21,1457,16.85573,0.09454,16.313
pathogen,173,117091,138.85913,7.59755,16.267
shdoctorsalutation,19,0,15.25042,0.00000,16.250
shdoctorrole,19,0,15.25042,0.00000,16.250
autoantibody,26,5338,20.86900,0.34636,16.243
lrn-c,19,9,15.25042,0.00058,16.241
flusurge,19,23,15.25042,0.00149,16.226
usg,33,10766,26.48758,0.69856,16.183
dhs,90,54464,72.23885,3.53394,16.153
adalja,19,107,15.25042,0.00694,16.138
nmd,23,3195,18.46104,0.20731,16.119
p4,37,13974,29.69819,0.90671,16.100
hcws,20,958,16.05308,0.06216,16.055
just-in-time,28,7137,22.47431,0.46309,16.044
annex,158,109443,126.81931,7.10130,15.778
govtrack,19,466,15.25042,0.03024,15.773
nih,156,108088,125.21400,7.01338,15.750
immune,406,304633,325.87747,19.76637,15.741
medical,4266,3340830,3424.12134,216.77255,15.728
asymptomatic,43,19390,34.51412,1.25814,15.727
pre-hospital,24,4449,19.26369,0.28868,15.724
infect,231,167913,185.41306,10.89518,15.671
cholelithiasis,19,570,15.25042,0.03698,15.671
telehealth,42,18779,33.71146,1.21849,15.646
sneeze,42,18846,33.71146,1.22284,15.616
antimicrobial,79,48288,63.40966,3.13321,15.583
astrazeneca,29,8680,23.27696,0.56321,15.530
u003cul,18,0,14.44777,0.00000,15.448
syndromic,22,3208,17.65839,0.20815,15.444
sitroom,18,8,14.44777,0.00052,15.440
eaphln,18,22,14.44777,0.00143,15.426
markle,20,1703,16.05308,0.11050,15.356
health,10433,8397010,8374.08887,544.84705,15.343
broad-spectrum,23,4154,18.46104,0.26954,15.329
mksap,18,171,14.44777,0.01110,15.278
evd,24,5052,19.26369,0.32780,15.261
hospital,2906,2342466,2332.51221,151.99287,15.252
pentasa,18,209,14.44777,0.01356,15.241
choledocholithiasis,18,210,14.44777,0.01363,15.240
data-sharing,21,2712,16.85573,0.17597,15.184
fistulae,19,1099,15.25042,0.07131,15.169
pre-incident,18,299,14.44777,0.01940,15.154
lozano,24,5244,19.26369,0.34026,15.119
prefilled,19,1157,15.25042,0.07507,15.116
pediatric,220,166297,176.58386,10.79032,15.062
p3,47,24234,37.72473,1.57244,15.054
mrsa,42,20150,33.71146,1.30745,15.043
ileum,21,2941,16.85573,0.19083,14.994
variant,264,204121,211.90063,13.24456,14.946
epidemiology,118,84304,94.71316,5.47014,14.793
angiotensin,23,4970,18.46104,0.32248,14.716
hospitals,72,46302,57.79108,3.00434,14.682
informatic,98,68274,78.66008,4.43002,14.670
pod,127,92887,101.93704,6.02705,14.649
lrn-r,17,0,13.64512,0.00000,14.645
tahsn,17,0,13.64512,0.00000,14.645
neurologic,32,12685,25.68493,0.82308,14.637
coordination,503,411002,403.73492,26.66821,14.628
informatics,54,31330,43.34331,2.03287,14.621
esar-vhp,17,51,13.64512,0.00331,14.597
levas,17,67,13.64512,0.00435,14.582
lhd,21,3475,16.85573,0.22548,14.570
fema,71,45987,56.98843,2.98391,14.556
doff,20,2692,16.05308,0.17467,14.517
cohorting,17,137,13.64512,0.00889,14.516
adjuvant,42,21730,33.71146,1.40997,14.403
biodefense,20,2839,16.05308,0.18421,14.400
biosurveillance,18,1160,14.44777,0.07527,14.366
ace2,17,394,13.64512,0.02557,14.280
vector-borne,21,3946,16.85573,0.25604,14.216
gallbladder,31,12658,24.88227,0.82132,14.211
apta,21,4076,16.85573,0.26447,14.121
asacol,17,595,13.64512,0.03861,14.101
nim,30,12011,24.07962,0.77934,14.095
staffing,131,100659,105.14766,6.53134,14.094
morgue,27,9469,21.67166,0.61440,14.043
spike,174,139437,139.66177,9.04749,14.000
continuity,184,148657,147.68832,9.64573,13.967
fda-approved,23,6209,18.46104,0.40288,13.872
intensivist,18,1772,14.44777,0.11498,13.855
laboratory-mapping,16,0,12.84246,0.00000,13.842
mask,363,310541,291.36337,20.14971,13.824
nurse-on-call,16,28,12.84246,0.00182,13.817
centers,201,165800,161.33344,10.75807,13.806
botulism,20,3677,16.05308,0.23859,13.768
badging,19,2980,15.25042,0.19336,13.617
patients,49,30274,39.33004,1.96435,13.605
niaid,20,3921,16.05308,0.25442,13.594
jfo,16,318,12.84246,0.02063,13.563
allergic,80,58921,64.21231,3.82314,13.521
meningitis,40,22450,32.10616,1.45669,13.476
emtala,16,431,12.84246,0.02797,13.466
sars-cov,16,454,12.84246,0.02946,13.446
cough,122,98531,97.92377,6.39327,13.380
hainan,22,6111,17.65839,0.39652,13.361
interim,252,219331,202.26878,14.23148,13.345
avian,62,43244,49.76454,2.80592,13.338
bioterrorism,23,7075,18.46104,0.45907,13.338
mump,18,2457,14.44777,0.15942,13.324
shortness,27,10815,21.67166,0.70174,13.323
naturopathy,20,4405,16.05308,0.28582,13.262
hackensack,20,4534,16.05308,0.29419,13.177
privacy,566,517256,454.30209,33.56259,13.173
csw,25,9241,20.06635,0.59961,13.170
illness,577,528252,463.13129,34.27607,13.157
pmid,63,45142,50.56720,2.92908,13.125
personnel,706,652158,566.67365,42.31582,13.105
milano,50,32965,40.13269,2.13896,13.104
samhsa,24,8467,19.26369,0.54939,13.079
miscarriage,42,25595,33.71146,1.66075,13.046
clinicaldesgname,15,0,12.03981,0.00000,13.040
idemp,15,0,12.03981,0.00000,13.040
non-covid-19,15,0,12.03981,0.00000,13.040
listshdoctorclinicaldesginst,15,0,12.03981,0.00000,13.040
clinicaldesgid,15,0,12.03981,0.00000,13.040
shdoctorclinicaldesginsttext,15,0,12.03981,0.00000,13.040
clinicaldesginst,15,0,12.03981,0.00000,13.040
